START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/13/24,04:05 PM,04:05 PM,Brewers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/13/24,04/13/24,07:05 PM,07:05 PM,FALSE,TRUE,04/13/24,03:05 PM,03:05 PM,FREE,BUSY
04/14/24,01:35 PM,01:35 PM,Brewers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/14/24,04/14/24,04:35 PM,04:35 PM,FALSE,TRUE,04/14/24,12:35 PM,12:35 PM,FREE,BUSY
04/15/24,06:35 PM,06:35 PM,Twins at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/15/24,04/15/24,09:35 PM,09:35 PM,FALSE,TRUE,04/15/24,05:35 PM,05:35 PM,FREE,BUSY
04/16/24,06:35 PM,06:35 PM,Twins at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/16/24,04/16/24,09:35 PM,09:35 PM,FALSE,TRUE,04/16/24,05:35 PM,05:35 PM,FREE,BUSY
04/17/24,01:05 PM,01:05 PM,Twins at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/17/24,04/17/24,04:05 PM,04:05 PM,FALSE,TRUE,04/17/24,12:05 PM,12:05 PM,FREE,BUSY
04/19/24,07:40 PM,07:40 PM,Orioles at Royals,Kauffman Stadium - Kansas City,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/19/24,04/19/24,10:40 PM,10:40 PM,FALSE,TRUE,04/19/24,06:40 PM,06:40 PM,FREE,BUSY
04/20/24,07:10 PM,07:10 PM,Orioles at Royals,Kauffman Stadium - Kansas City,"Local TV: MASN 2- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/20/24,04/20/24,10:10 PM,10:10 PM,FALSE,TRUE,04/20/24,06:10 PM,06:10 PM,FREE,BUSY
04/21/24,02:10 PM,02:10 PM,Orioles at Royals,Kauffman Stadium - Kansas City,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/21/24,04/21/24,05:10 PM,05:10 PM,FALSE,TRUE,04/21/24,01:10 PM,01:10 PM,FREE,BUSY
04/22/24,09:38 PM,09:38 PM,Orioles at Angels,Angel Stadium - Anaheim,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/23/24,04/23/24,12:38 AM,12:38 AM,FALSE,TRUE,04/22/24,08:38 PM,08:38 PM,FREE,BUSY
04/23/24,09:38 PM,09:38 PM,Orioles at Angels,Angel Stadium - Anaheim,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/24/24,04/24/24,12:38 AM,12:38 AM,FALSE,TRUE,04/23/24,08:38 PM,08:38 PM,FREE,BUSY
04/24/24,04:07 PM,04:07 PM,Orioles at Angels,Angel Stadium - Anaheim,"Local TV: MASN 2- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/24/24,04/24/24,07:07 PM,07:07 PM,FALSE,TRUE,04/24/24,03:07 PM,03:07 PM,FREE,BUSY
04/26/24,07:05 PM,07:05 PM,Athletics at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/26/24,04/26/24,10:05 PM,10:05 PM,FALSE,TRUE,04/26/24,06:05 PM,06:05 PM,FREE,BUSY
04/27/24,04:05 PM,04:05 PM,Athletics at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/27/24,04/27/24,07:05 PM,07:05 PM,FALSE,TRUE,04/27/24,03:05 PM,03:05 PM,FREE,BUSY
04/28/24,01:35 PM,01:35 PM,Athletics at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/28/24,04/28/24,04:35 PM,04:35 PM,FALSE,TRUE,04/28/24,12:35 PM,12:35 PM,FREE,BUSY
04/29/24,06:35 PM,06:35 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/29/24,04/29/24,09:35 PM,09:35 PM,FALSE,TRUE,04/29/24,05:35 PM,05:35 PM,FREE,BUSY
04/30/24,06:35 PM,06:35 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/30/24,04/30/24,09:35 PM,09:35 PM,FALSE,TRUE,04/30/24,05:35 PM,05:35 PM,FREE,BUSY
05/01/24,06:35 PM,06:35 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/01/24,05/01/24,09:35 PM,09:35 PM,FALSE,TRUE,05/01/24,05:35 PM,05:35 PM,FREE,BUSY
05/02/24,01:05 PM,01:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/02/24,05/02/24,04:05 PM,04:05 PM,FALSE,TRUE,05/02/24,12:05 PM,12:05 PM,FREE,BUSY
05/03/24,06:10 PM,06:10 PM,Orioles at Reds,Great American Ball Park - Cincinnati,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/03/24,05/03/24,09:10 PM,09:10 PM,FALSE,TRUE,05/03/24,05:10 PM,05:10 PM,FREE,BUSY
05/04/24,06:40 PM,06:40 PM,Orioles at Reds,Great American Ball Park - Cincinnati,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/04/24,05/04/24,09:40 PM,09:40 PM,FALSE,TRUE,05/04/24,05:40 PM,05:40 PM,FREE,BUSY
05/05/24,04:10 PM,04:10 PM,Orioles at Reds,Great American Ball Park - Cincinnati,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/05/24,05/05/24,07:10 PM,07:10 PM,FALSE,TRUE,05/05/24,03:10 PM,03:10 PM,FREE,BUSY
05/07/24,06:45 PM,06:45 PM,Orioles at Nationals,Nationals Park - Washington,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/07/24,05/07/24,09:45 PM,09:45 PM,FALSE,TRUE,05/07/24,05:45 PM,05:45 PM,FREE,BUSY
05/08/24,06:45 PM,06:45 PM,Orioles at Nationals,Nationals Park - Washington,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/08/24,05/08/24,09:45 PM,09:45 PM,FALSE,TRUE,05/08/24,05:45 PM,05:45 PM,FREE,BUSY
05/10/24,07:05 PM,07:05 PM,D-backs at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: Apple TV+ ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/10/24,05/10/24,10:05 PM,10:05 PM,FALSE,TRUE,05/10/24,06:05 PM,06:05 PM,FREE,BUSY
05/11/24,04:05 PM,04:05 PM,D-backs at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/11/24,05/11/24,07:05 PM,07:05 PM,FALSE,TRUE,05/11/24,03:05 PM,03:05 PM,FREE,BUSY
05/12/24,01:35 PM,01:35 PM,D-backs at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/12/24,05/12/24,04:35 PM,04:35 PM,FALSE,TRUE,05/12/24,12:35 PM,12:35 PM,FREE,BUSY
05/13/24,06:35 PM,06:35 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/13/24,05/13/24,09:35 PM,09:35 PM,FALSE,TRUE,05/13/24,05:35 PM,05:35 PM,FREE,BUSY
05/14/24,06:35 PM,06:35 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/14/24,05/14/24,09:35 PM,09:35 PM,FALSE,TRUE,05/14/24,05:35 PM,05:35 PM,FREE,BUSY
05/15/24,12:35 PM,12:35 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/15/24,05/15/24,03:35 PM,03:35 PM,FALSE,TRUE,05/15/24,11:35 AM,11:35 AM,FREE,BUSY
05/17/24,07:05 PM,07:05 PM,Mariners at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/17/24,05/17/24,10:05 PM,10:05 PM,FALSE,TRUE,05/17/24,06:05 PM,06:05 PM,FREE,BUSY
05/18/24,04:05 PM,04:05 PM,Mariners at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2- FS1 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/18/24,05/18/24,07:05 PM,07:05 PM,FALSE,TRUE,05/18/24,03:05 PM,03:05 PM,FREE,BUSY
05/19/24,01:35 PM,01:35 PM,Mariners at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/19/24,05/19/24,04:35 PM,04:35 PM,FALSE,TRUE,05/19/24,12:35 PM,12:35 PM,FREE,BUSY
05/20/24,07:45 PM,07:45 PM,Orioles at Cardinals,Busch Stadium - St. Louis,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/20/24,05/20/24,10:45 PM,10:45 PM,FALSE,TRUE,05/20/24,06:45 PM,06:45 PM,FREE,BUSY
